unit,tra_meas,destination,date,passengers
Passenger,Passengers on board (arrivals),PORTO,2015-07-01,26043
Passenger,Passengers on board (arrivals),LISBOA,2015-07-01,21317
Passenger,Passengers on board (arrivals),ANTALYA (MIL-CIV),2015-07-01,13273
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2015-07-01,10734
Passenger,Passengers on board (arrivals),LONDON GATWICK,2015-07-01,7536
Passenger,Passengers on board (arrivals),LONDON/CITY,2015-07-01,23207
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2015-07-01,20213
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2015-04-01,12887
Passenger,Passengers on board (arrivals),GENEVA,2015-04-01,6687
Passenger,Passengers on board (arrivals),ZURICH,2015-04-01,16160
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2015-04-01,15164
Passenger,Passengers on board (arrivals),MUENCHEN,2015-04-01,21158
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2015-04-01,8184
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2015-04-01,11921
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2015-04-01,9538
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2015-04-01,6472
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2015-04-01,13797
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2015-04-01,6871
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2015-04-01,9484
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2015-04-01,16261
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2015-04-01,8056
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2015-04-01,21172
Passenger,Passengers on board (arrivals),PORTO,2015-04-01,17994
Passenger,Passengers on board (arrivals),LISBOA,2015-04-01,20585
Passenger,Passengers on board (arrivals),ANTALYA (MIL-CIV),2015-04-01,5385
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2015-04-01,9672
Passenger,Passengers on board (arrivals),LONDON GATWICK,2015-04-01,7547
Passenger,Passengers on board (arrivals),LONDON/CITY,2015-04-01,25137
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2015-04-01,17648
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2015-01-01,9019
Passenger,Passengers on board (arrivals),GENEVA,2015-01-01,6371
Passenger,Passengers on board (arrivals),ZURICH,2015-01-01,13769
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2015-01-01,13346
Passenger,Passengers on board (arrivals),MUENCHEN,2015-01-01,17600
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2015-01-01,3222
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2015-01-01,7624
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2015-01-01,3937
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2015-01-01,4281
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2015-01-01,669
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2015-01-01,3748
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2015-01-01,7894
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2015-01-01,13334
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2015-01-01,3915
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2015-01-01,14764
Passenger,Passengers on board (arrivals),PORTO,2015-01-01,14241
Passenger,Passengers on board (arrivals),LISBOA,2015-01-01,14418
Passenger,Passengers on board (arrivals),ANTALYA (MIL-CIV),2015-01-01,0
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2015-01-01,7471
Passenger,Passengers on board (arrivals),LONDON GATWICK,2015-01-01,6665
Passenger,Passengers on board (arrivals),LONDON/CITY,2015-01-01,20112
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2015-01-01,14439
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2014-10-01,10135
Passenger,Passengers on board (arrivals),GENEVA,2014-10-01,6750
Passenger,Passengers on board (arrivals),ZURICH,2014-10-01,15436
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2014-10-01,14754
Passenger,Passengers on board (arrivals),MUENCHEN,2014-10-01,20737
Passenger,Passengers on board (arrivals),SAARBRUECKEN,2014-10-01,5771
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2014-10-01,3418
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2014-10-01,10724
Passenger,Passengers on board (arrivals),IRAKLION/NIKOS KAZANTZAKIS,2014-10-01,1158
Passenger,Passengers on board (arrivals),GRAN CANARIA,2014-10-01,4986
Passenger,Passengers on board (arrivals),TENERIFE SUR/REINA SOFIA,2014-10-01,3213
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2014-10-01,5158
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2014-10-01,4411
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2014-10-01,2688
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2014-10-01,3528
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2014-10-01,4090
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2014-10-01,8498
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2014-10-01,14494
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2014-10-01,4846
Passenger,Passengers on board (arrivals),AGADIR/AL MASSIRA,2014-10-01,2668
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2014-10-01,16012
Passenger,Passengers on board (arrivals),PORTO,2014-10-01,14027
Passenger,Passengers on board (arrivals),LISBOA,2014-10-01,15256
Passenger,Passengers on board (arrivals),ENFIDHA-HAMMAMET INTERNATIONAL,2014-10-01,2336
Passenger,Passengers on board (arrivals),DJERBA/ZARZIS,2014-10-01,3474
Passenger,Passengers on board (arrivals),ANTALYA (MIL-CIV),2014-10-01,2746
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2014-10-01,9172
Passenger,Passengers on board (arrivals),LONDON GATWICK,2014-10-01,8056
Passenger,Passengers on board (arrivals),LONDON/CITY,2014-10-01,22044
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2014-10-01,17331
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2014-07-01,9713
Passenger,Passengers on board (arrivals),GENEVA,2014-07-01,5205
Passenger,Passengers on board (arrivals),ZURICH,2014-07-01,16275
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2014-07-01,15786
Passenger,Passengers on board (arrivals),MUENCHEN,2014-07-01,17861
Passenger,Passengers on board (arrivals),SAARBRUECKEN,2014-07-01,6418
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2014-07-01,3734
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2014-07-01,9724
Passenger,Passengers on board (arrivals),IRAKLION/NIKOS KAZANTZAKIS,2014-07-01,5891
Passenger,Passengers on board (arrivals),GRAN CANARIA,2014-07-01,3354
Passenger,Passengers on board (arrivals),TENERIFE SUR/REINA SOFIA,2014-07-01,3538
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2014-07-01,10337
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2014-07-01,4236
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2014-07-01,5494
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2014-07-01,18635
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2014-07-01,5438
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2014-07-01,8394
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2014-07-01,13777
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2014-07-01,5358
Passenger,Passengers on board (arrivals),AGADIR/AL MASSIRA,2014-07-01,3559
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2014-07-01,17620
Passenger,Passengers on board (arrivals),PORTO,2014-07-01,18318
Passenger,Passengers on board (arrivals),LISBOA,2014-07-01,19100
Passenger,Passengers on board (arrivals),ENFIDHA-HAMMAMET INTERNATIONAL,2014-07-01,4239
Passenger,Passengers on board (arrivals),DJERBA/ZARZIS,2014-07-01,9624
Passenger,Passengers on board (arrivals),ANTALYA (MIL-CIV),2014-07-01,10884
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2014-07-01,8777
Passenger,Passengers on board (arrivals),LONDON GATWICK,2014-07-01,9941
Passenger,Passengers on board (arrivals),LONDON/CITY,2014-07-01,19712
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2014-07-01,17144
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2014-04-01,11615
